NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,URSGALLDAT,SENGALLDAT,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
2000017,Korpberget,Naturreservat,Gällande,"""1997-01-17T00:00:00.000Z""","""1997-03-07T00:00:00.000Z""","""2008-01-24T00:00:00.000Z""",Stockholms Län,"Salem, Södertälje","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,52.99,53.04,0.01,36.548,Slutligt inmätt,18513-2000-16038,Miljöbalken,Länsstyrelse
2001296,Rövallsmossen och Stingsmossen,Naturreservat,Gällande,"""1997-12-17T00:00:00.000Z""","""1998-01-20T00:00:00.000Z""","""1998-01-20T00:00:00.000Z""",Västmanlands Län,Surahammar,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Västmanlands län,537.03,537.03,0,234.543,Slutligt inmätt,231-5900-97,Naturvårdslagen,Länsstyrelse
2000978,Prästängen,Naturreservat,Gällande,"""1967-06-22T00:00:00.000Z""","""1967-06-22T00:00:00.000Z""","""2005-05-09T00:00:00.000Z""",Skåne Län,Ängelholm,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Skåne län,3.34,3.31,0,3.246,Justerad mot fastighetskarta,511-29341-02,Miljöbalken,Länsstyrelse
2002081,Tvärstupet,Naturreservat,Gällande,"""1976-03-15T00:00:00.000Z""","""1976-03-15T00:00:00.000Z""","""1976-03-15T00:00:00.000Z""",Dalarnas Län,Borlänge,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Dalarnas län,39.14,38.44,0.68,35.649,Slutligt inmätt,11.131-826-74,Naturvårdslagen,Länsstyrelse
2000144,Hällsboskogen,Naturreservat,Gällande,"""1997-04-14T00:00:00.000Z""","""1997-08-01T00:00:00.000Z""","""1997-08-01T00:00:00.000Z""",Stockholms Län,Sigtuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Sigtuna kommun,54,53.97,0,49.498,Justerad mot fastighetskarta,96/KA 0349-265,Naturvårdslagen,Kommun
2044332,Finnbrännabäcken,Naturreservat,Gällande,"""2016-03-14T00:00:00.000Z""","""2016-04-09T00:00:00.000Z""","""2016-04-09T00:00:00.000Z""",Gävleborgs Län,Ljusdal,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,19.92,19.92,0,19.915,Slutligt inmätt,511-7582-2014,Miljöbalken,Länsstyrelse
2042147,Markdal,Naturreservat,Gällande,"""2014-11-24T00:00:00.000Z""","""2014-12-29T00:00:00.000Z""","""2014-12-29T00:00:00.000Z""",Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,34.15,34.18,0,32.094,Slutligt inmätt,511-24535-2012 (fd 511-2009-24082),Miljöbalken,Länsstyrelse
2000029,Pankar,Naturreservat,Gällande,"""2003-04-28T00:00:00.000Z""","""2003-05-27T00:00:00.000Z""","""2003-05-27T00:00:00.000Z""",Gotlands Län,Gotland,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Gotlands län,28.08,28.07,0,27.271,Slutligt inmätt,511-2705-01,Miljöbalken,Länsstyrelse
2000049,Ekebacken,Naturreservat,Gällande,"""1969-09-12T00:00:00.000Z""","""1969-09-12T00:00:00.000Z""","""2007-03-10T00:00:00.000Z""",Blekinge Län,Karlskrona,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Karlskrona kommun,13.43,13.44,0,9.428,Slutligt inmätt,IIIR11-10-68,Miljöbalken,Länsstyrelse
2002894,Trollmosseskogen,Naturreservat,Gällande,"""2004-11-09T00:00:00.000Z""","""2004-12-10T00:00:00.000Z""","""2004-12-10T00:00:00.000Z""",Dalarnas Län,Rättvik,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Dalarnas län,547.88,527.91,19.94,453.612,Slutligt inmätt,511-8473-03,Miljöbalken,Länsstyrelse
